Date,Open,High,Low,Close,Adj Close,Volume
1990-12-01,1389.000000,1459.199951,1364.500000,1383.099976,1383.099976,0
1991-01-01,1380.699951,1451.199951,1279.000000,1434.300049,1434.300049,0
1991-02-01,1434.699951,1607.500000,1428.699951,1578.699951,1578.699951,0
1991-03-01,1577.599976,1660.300049,1553.099976,1649.400024,1649.400024,0
1991-04-01,1648.199951,1709.599976,1645.000000,1659.500000,1659.500000,0
1991-05-01,1659.800049,1749.000000,1641.500000,1740.800049,1740.800049,0
1991-06-01,1740.199951,1745.300049,1658.699951,1664.300049,1664.300049,0
1991-07-01,1665.500000,1758.599976,1665.500000,1727.199951,1727.199951,0
1991-08-01,1726.900024,1751.900024,1584.000000,1736.599976,1736.599976,0
1991-09-01,1736.099976,1739.900024,1660.599976,1664.699951,1664.699951,0
1991-10-01,1666.500000,1724.699951,1659.699951,1683.900024,1683.900024,0
1991-11-01,1683.599976,1747.099976,1617.300049,1622.599976,1622.599976,0
1991-12-01,1620.199951,1671.900024,1583.099976,1670.099976,1670.099976,0
1992-01-01,1670.599976,1787.000000,1670.599976,1753.500000,1753.500000,0
1992-02-01,1753.500000,1845.099976,1744.199951,1840.599976,1840.599976,0
1992-03-01,1840.599976,1858.699951,1785.400024,1837.199951,1837.199951,0
1992-04-01,1836.900024,1889.400024,1814.800049,1880.099976,1880.099976,0
1992-05-01,1879.599976,1988.300049,1872.599976,1920.599976,1920.599976,0
1992-06-01,1920.599976,1935.099976,1828.500000,1854.800049,1854.800049,0
1992-07-01,1854.599976,1883.699951,1731.900024,1798.099976,1798.099976,0
1992-08-01,1796.900024,1832.400024,1703.099976,1751.599976,1751.599976,0
1992-09-01,1750.500000,1926.900024,1734.400024,1877.199951,1877.199951,0
1992-10-01,1876.500000,1934.000000,1787.300049,1911.099976,1911.099976,0
1992-11-01,1909.699951,1974.500000,1854.000000,1931.199951,1931.199951,0
1992-12-01,1930.599976,2107.899902,1919.400024,2107.000000,2107.000000,0
1993-01-01,2107.000000,2132.600098,2033.500000,2091.100098,2091.100098,0
1993-02-01,2092.300049,2154.500000,2049.899902,2099.399902,2099.399902,0
1993-03-01,2100.600098,2200.300049,2100.600098,2190.300049,2190.300049,0
1993-04-01,2189.399902,2220.300049,2094.600098,2129.699951,2129.699951,0
1993-05-01,2130.000000,2271.600098,2130.000000,2270.699951,2270.699951,0
1993-06-01,2270.399902,2383.300049,2243.399902,2376.699951,2376.699951,0
1993-07-01,2376.100098,2422.800049,2281.600098,2400.899902,2400.899902,0
1993-08-01,2401.199951,2503.600098,2366.500000,2490.199951,2490.199951,0
1993-09-01,2491.399902,2503.500000,2356.000000,2473.100098,2473.100098,0
1993-10-01,2473.100098,2731.399902,2469.899902,2723.199951,2723.199951,0
1993-11-01,2724.399902,2763.100098,2625.199951,2738.500000,2738.500000,0
1993-12-01,2739.699951,2986.899902,2738.899902,2957.600098,2957.600098,0
1994-01-01,2966.500000,3190.399902,2940.800049,3178.399902,3178.399902,0
1994-02-01,3178.699951,3181.699951,2883.199951,2888.199951,2888.199951,0
1994-03-01,2888.199951,2923.699951,2745.800049,2794.800049,2794.800049,0
1994-04-01,2793.300049,2953.899902,2731.000000,2736.300049,2736.300049,0
1994-05-01,2737.100098,2773.800049,2569.199951,2722.899902,2722.899902,0
1994-06-01,2724.000000,2807.899902,2512.800049,2608.800049,2608.800049,0
1994-07-01,2608.800049,2636.399902,2473.399902,2579.500000,2579.500000,0
1994-08-01,2580.600098,2660.100098,2508.699951,2645.600098,2645.600098,0
1994-09-01,2646.600098,2707.199951,2509.500000,2534.399902,2534.399902,0
1994-10-01,2534.699951,2596.100098,2443.500000,2506.500000,2506.500000,0
1994-11-01,2505.800049,2625.300049,2492.699951,2594.899902,2594.899902,0
1994-12-01,2594.600098,2675.500000,2543.500000,2628.800049,2628.800049,0
1995-01-01,2627.399902,2648.500000,2511.000000,2536.899902,2536.899902,0
1995-02-01,2537.699951,2651.199951,2536.300049,2600.399902,2600.399902,0
1995-03-01,2600.899902,2625.800049,2438.100098,2508.899902,2508.899902,0
